Year,California,Bay Area (9-county),Alameda County,Alpine County,Amador County,Butte County,Calaveras County,Colusa County,Contra Costa County,Del Norte County,El Dorado County,Fresno County,Glenn County,Humboldt County,Imperial County,Inyo County,Kern County,Kings County,Lake County,Lassen County,Los Angeles County,Madera County,Marin County,Mariposa County,Mendocino County,Merced County,Modoc County,Mono County,Monterey County,Napa County,Nevada County,Orange County,Placer County,Plumas County,Riverside County,Sacramento County,San Benito County,San Bernardino County,San Diego County,San Francisco County,San Joaquin County,San Luis Obispo County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County,Shasta County,Sierra County,Siskiyou County,Solano County,Sonoma County,Stanislaus County,Sutter County,Tehama County,Trinity County,Tulare County,Tuolumne County,Ventura County,Yolo County,Yuba County
2010,37319502,7165155,1512986,1161,37886,219949,45468,21437,1052540,28566,181136,932039,28127,135009,174716,18511,840996,152370,64735,34831,9823246,150986,252904,18277,87799,256721,9694,14257,416373,136759,98790,3015171,350021,19914,2201576,1421383,55516,2040848,3103212,805505,687127,269802,719699,424231,1786040,263147,177274,3220,44938,413967,484755,515145,94751,63559,13755,442969,55190,825097,201073,72348
2011,37638369,7249233,1530915,1093,37543,219975,45160,21323,1065440,28443,180936,939406,28139,135243,175786,18392,847970,151868,64251,34246,9876482,151675,255376,18170,87334,259297,9509,14422,420456,137691,98701,3049271,356328,19719,2234070,1433730,55977,2060827,3137156,815650,694354,271058,728344,425453,1812054,264858,177588,3098,44615,416342,487421,517560,94482,63331,13685,446784,54830,830099,201954,72489
2012,37948800,7341531,1553764,1110,37104,220869,44815,21284,1077548,28190,180575,945045,27851,134572,176575,18351,853606,150991,63954,33629,9935375,151527,256061,17881,87288,260867,9351,14331,424788,138538,98137,3078068,360263,19377,2261204,1444852,56599,2073512,3174335,828876,699593,274160,739224,429699,1837853,266340,177875,3067,44079,419674,489993,520424,94189,63212,13489,449779,54221,833516,204576,72774
2013,38260787,7443373,1579593,1128,36620,221641,44655,21250,1093401,27816,181481,951514,27809,134403,176438,18357,862000,150337,63796,32129,9992484,151370,258409,17809,87054,262026,9145,14067,426712,139580,97938,3104950,365398,18895,2286755,1457341,57239,2082738,3209768,839572,702046,275696,748661,434601,1866425,268816,178397,3028,43532,423659,494073,523451,94507,62875,13427,452460,53997,838136,206292,73090
2014,38596972,7544705,1607792,1080,36726,223516,44671,21176,1108876,27175,183108,960567,27831,134494,177974,18292,869176,149495,64044,31664,10040072,153456,260359,17714,87225,264419,9068,14134,428475,140405,98572,3126537,369217,18622,2316162,1474917,57825,2099181,3248877,850750,711579,278227,757204,439045,1891753,270861,178844,2972,43338,429006,498560,528015,94778,62801,13128,455138,53851,842297,208398,73533
2015,38918045,7639343,1634538,1077,37031,224631,44965,21231,1124405,27190,184569,969488,27753,135102,178937,18108,876031,150085,64260,31256,10085416,153576,260916,17622,87107,266353,9056,14077,430552,140862,98676,3149280,372841,18427,2345816,1493674,58216,2115411,3280850,863010,722271,280077,765055,442229,1916285,273503,178314,2985,43254,433409,500863,533211,95282,63158,13094,457161,53615,845802,212037,74045
2016,39167117,7698811,1650950,1047,37429,226231,45322,21496,1137268,27382,185976,976830,27840,136290,180179,17922,880856,149382,63903,30721,10105708,153956,260562,17456,87285,267628,8961,14273,433953,140840,98913,3164986,378943,18665,2380081,1510987,59225,2131960,3306089,871512,732809,281803,767906,444340,1928368,274396,178571,2951,43376,438858,502547,539255,95742,63453,12828,459235,53770,847323,215627,74952
2017,39358497,7730789,1660196,1111,38529,228696,45681,21579,1145535,27351,188679,985238,27926,136507,181649,17868,887356,149665,64111,30920,10103711,155423,259749,17414,87576,271096,8876,14354,434534,139878,99367,3174289,385115,18660,2414964,1527301,60164,2150945,3321237,878040,743296,282481,768901,445298,1932510,274856,179384,3002,43622,443511,502469,544717,96204,63847,12726,462308,53976,849044,218477,76578
2018,39461588,7741808,1666756,1089,39405,230339,45698,21418,1150519,27740,190746,991950,27967,136244,181523,17946,893758,151382,64317,30618,10073906,156882,259662,17405,87401,274151,8800,14403,433950,138789,99508,3175973,392330,18741,2445789,1538746,61467,2166753,3333861,880696,752491,283354,768681,445780,1932337,273841,179709,2997,43550,445725,498643,548126,96348,64018,12567,464589,54387,848142,220118,77557
2019,39512223,7739378,1671329,1129,39752,219186,45905,21547,1153526,27812,192843,999101,28393,135558,181215,18039,900202,152940,64386,30573,10039107,157327,258826,17203,86749,277680,8841,14444,434061,137744,99755,3175692,398329,18807,2470546,1552058,62808,2180085,3338330,881549,762148,283111,766573,446499,1927852,273213,180080,3005,43539,447643,494336,550660,96971,65084,12285,466195,54478,846006,220500,78668
2020,39521958,7749328,1680614,1179,40584,210222,45350,21868,1166165,27616,191250,1009613,28889,136324,179730,18999,906124,152797,68200,32319,9996634,156434,261341,17133,91362,282963,8677,13225,440506,137465,102267,3186261,405951,19761,2424663,1586727,64533,2183526,3301182,874826,780676,281924,762727,448083,1924802,271768,182190,3229,43999,452887,488501,553710,99479,65690,16095,473944,55397,843808,217768,82001
2021,39142565,7571670,1643856,1203,41245,206351,46262,21931,1163813,27581,193724,1012879,28714,134978,179206,18920,912782,152724,68623,31884,9809239,159019,259254,17136,91303,284834,8640,13263,439245,136219,103499,3159351,412968,19965,2455225,1588824,66703,2190877,3274244,815498,788096,279468,739330,437117,1878320,260904,182243,3298,44144,450819,484561,552939,99121,65467,16102,476939,55126,840009,213545,83035
2022,39142414,7551060,1635693,1169,41486,207384,46544,21952,1160296,26758,193071,1017107,28371,135013,179767,18745,917293,152776,68239,30401,9748447,160414,257143,17095,90027,292034,8625,13055,436427,134492,102356,3158489,418439,19433,2479628,1588743,67715,2196029,3283755,814176,795880,282535,732485,445286,1883653,265851,180972,3215,43746,449724,483398,552410,98682,65269,15777,478288,53951,835032,223338,84335
2023,39198693,7574452,1638142,1126,41798,207354,46580,22093,1162179,26571,192440,1019899,28190,134009,180585,18548,916646,153281,67934,28838,9731837,163402,255706,16996,89354,294402,8566,13207,435637,133444,102086,3154563,424599,19120,2503549,1594506,68341,2200805,3285890,819151,805909,282007,734267,443521,1897137,263699,180656,3180,42941,451060,483366,553921,98457,64959,15684,480747,54123,833071,222919,85695
2024,39431263,7648014,1649060,1099,42026,208334,46505,22074,1172607,27009,192823,1024125,28304,132380,181724,18485,922529,154913,67764,28340,9757179,165432,256400,17048,89175,296774,8491,12991,436251,132727,102195,3170435,433822,18834,2529933,1611231,69159,2214281,3298799,827526,816108,281843,742893,444500,1926325,262406,181121,3113,42498,455101,485375,556972,98545,64451,15642,483546,53893,835427,225251,87469