Year,United States,Atlanta,Austin,Boston,Chicago,Dallas,Denver,Houston,Los Angeles,Miami,New York,Phoenix,San Diego,San Francisco,San Jose,Seattle,Washington D.C.
2010,309321666,5302598,1727502,4566348,9470634,6392065,2554523,5947236,12838417,5583394,18923407,4204204,3103212,4343634,1841556,3449241,5678491
2011,311556874,5366462,1780535,4609790,9500870,6510544,2602918,6056193,12925753,5668271,19052774,4253037,3137156,4395725,1868031,3503891,5782319
2012,313830990,5444473,1834586,4656593,9528090,6644559,2650274,6183531,13013443,5745743,19149689,4329756,3174335,4455473,1894452,3558829,5878942
2013,315993715,5510530,1883315,4702877,9550194,6753889,2700529,6328208,13097434,5822754,19226449,4403121,3209768,4519636,1923664,3612347,5963312
2014,318301008,5593204,1942467,4746931,9560430,6889769,2753973,6500199,13166609,5893858,19280929,4488970,3248877,4584981,1949578,3675160,6031945
2015,320635163,5686048,2002134,4778340,9552554,7042566,2812896,6671808,13234696,5969135,19320968,4578519,3280850,4647924,1974501,3739654,6093950
2016,322941311,5787965,2062016,4809061,9533662,7194758,2856755,6806503,13270694,6055686,19334778,4673336,3306089,4688198,1987593,3816355,6149301
2017,324985539,5872432,2115475,4841772,9514113,7337097,2891776,6900090,13278000,6118155,19322607,4758748,3321237,4712421,1992674,3885579,6211341
2018,326687501,5945303,2165497,4859536,9484158,7455756,2931665,6976147,13249879,6143837,19276644,4849209,3333861,4726314,1993804,3935179,6247841
2019,328239523,6020364,2227083,4873019,9458539,7573136,2967239,7066141,13214799,6166488,19216182,4948203,3338330,4731803,1990660,3979845,6280487
2020,331577720,6121086,2300249,4930540,9439531,7667594,2970243,7169728,13182895,6133502,19991108,4875628,3301182,4745673,1989335,4027979,6260475
2021,332099760,6160570,2359088,4911669,9362043,7776611,2978410,7246956,12968590,6109257,19714596,4949233,3274244,4621751,1945023,4017215,6259238
2022,334017321,6253070,2430375,4931775,9310017,7973603,2991705,7403068,12906936,6211194,19619844,5029933,3283755,4599793,1951368,4040080,6289810
2023,336806231,6336015,2492618,4967266,9337814,8166110,3020750,7598011,12886400,6334517,19726871,5102020,3285890,4609445,1965478,4078828,6345881
2024,340110988,6411149,2550637,5025517,9408576,8344032,3052498,7796182,12927614,6457988,19940274,5186958,3298799,4648486,1995484,4145494,6436489